Book,Category,View on Jesus,View on Works,View on Cross Death Meaning,Physical Resurrection (Yes/No),Spiritual Resurrection (Yes/No),View on Resurrection Meaning,View on Second Coming,Uses Physical Jesus Core Teachings and Parables (not spiritual revelation),Time Period of Writing,Probable Public,Probable Writer,Core Textual Evidence,Additional Notes,Source
Matthew,Works; Jamesian theology emphasizing love through works.,New Moses; the law-giver who makes love accessible through his life.,"Essential; emphasis on ""doing the will of the Father"" (Sermon on the Mount).",Ordering of Hells; shattering corrupt forms to bring salvation.,Yes; specifically states the physical guard and appearances to counter gnostics.,"Yes; ""I am with you always.""",Authority; receiving all authority to teach the core life.,Central; final judgment based on works (sheep and goats).,Yes; contains the Sermon on the Mount and many kingdom parables.,c. 70–90 AD,Jewish Christian communities,Matthew,"Matthew 5-7, 25:31-46",Strictly Jamesian; follows works-based theology rather than orthodoxy.,"1-3, 5-7, 9, 10, 14, 15"
Colossians,Orthodoxy; state-affirming correction pushing away gnostic-like notions.,Cosmic Christ; head of the body in whom fullness dwells bodily.,"Household codes; state-affirming behavior (wives, slaves).",Peace-making; through the blood of his cross.,No; focus on realized eschatology and heavenly realms.,Yes; spiritual importance and rising with him through faith.,Cosmic Order; reconciliation of all things to the institution.,Future; appearing in glory at a later time.,No; focus on philosophical arguments over historical parables.,c. 60–80 AD,Church at Colossae,Pauline School,"Colossians 1:15-20, 3:18-22",Blends Pauline mysticism with early orthodox institutional codes.,"2, 3, 6, 11"
Luke,Works; Jamesian theology emphasizing love and active mercy.,Compassionate Savior; life serves as the example for love through works.,Essential; focus on active mercy (Good Samaritan).,Ordering of Hells; bringing order to the spiritual world to allow love.,"Yes; emphasizes ""flesh and bones"" and eating fish to refute gnostic spirit-only views.",Yes; Christ lives in the heart and spirit.,Witness; proof of the Gospel and Jesus' identity as Lord.,"Delayed; a delay is recognized, kingdom is present through works.",Yes; primary source for social-ethical parables.,c. 80–95 AD,Theophilus / Gentile Christians,Luke,"Luke 10:25-37, 24:39-43","Explicitly counters Pauline gnostic ideas with a physical, eating Jesus.","1-3, 6, 13, 14, 16"
Acts,Orthodoxy; state-affirming correction making Christianity accessible to the state.,Ascended Lord; focus on institutional continuity.,Community life; focus on institutional expansion and spreading the Way.,Historical Event; turning point for the expansion of the church.,"Yes; bodily ascension and ""many proofs.""",Yes; spiritual reality of the Holy Spirit's guidance.,Authority; foundation of the Church institution and its legitimacy.,Postponed; focus on church expansion in the meantime.,No; core teachings often ignored in favor of church tradition.,c. 80–95 AD,The Roman state / Church,Luke,"Acts 1:8, 2:36",Transitions Jamesian roots into a state-organized institutional history.,"2-4, 6, 12, 17"
2 Thessalonians,Orthodoxy; state-affirming correction to quell apocalyptic fervor.,Avenging Judge; maintainer of social order.,"Order; strict work ethic (""if anyone will not work, let him not eat"").",Basis for final judgment and state stability.,No; focus on heavenly realms.,Yes; spiritual importance.,Validation of the Law and institutional order.,Delayed; must be preceded by signs (Man of Lawlessness).,No; focus on tradition over the historical Jesus.,c. 70–90 AD,Church in Thessalonica,Pauline School,2 Thessalonians 2:1-3,Adjusts Pauline eschatology for institutional and state stability.,"2, 3, 6"
Ephesians,Orthodoxy; state-affirming notions written later to bring Paul into order.,Head of the Church; administrative Christ and cosmic ruler.,Ordered works; submission to social and church hierarchy.,Peace-making; institutional reconciliation through the cross.,No; focus on spiritual seat in heavenly places.,Yes; made alive together with Christ.,"Institutional Foundationalism; one body, one spirit.",Realized; focus on current growth of the Church as a temple.,No; focuses on church order and hymns over parables.,c. 80–90 AD,Universal Church,Pauline School,"Ephesians 2:8-10, 5:22-6:9",Pushes away gnostic notions; establishes specific social hierarchies.,"2, 3, 6, 11"
1 Peter,Works; Jamesian theology focusing on suffering and conduct.,Exemplar; the Chief Shepherd whose life makes love accessible.,"Necessary; ""keep your conduct honorable"" through good deeds.",Ordering of Hells; preaching to the spirits in prison.,"No; ""put to death in the flesh but made alive in the spirit.""",Yes; new birth into a living hope.,Vindication; exaltation of the suffering righteous.,"Imminent; ""the end of all things is at hand.""",Yes; echoes teachings on suffering and love.,c. 60–90 AD,Exiles in Asia Minor,Anonymous / Peter,"1 Peter 3:18-19, 5:13","Jamesian emphasis on conduct; uses code name ""Babylon.""","2, 3, 6"
John,Works; Jamesian theology focusing on spiritual perception of the Divine Human.,The Logos; the Word made flesh to reveal the Father's love.,"Essential; loving one another is the ""new commandment.""","Victory; the ""lifting up"" to bring order to all things.",Yes; emphasizes the touch of Thomas to prove physical reality.,Yes; Jesus as the living spirit and vine.,Regeneration; transition to a higher state through the historical Lord.,"Realized; the Spirit is the return, but future judgment is held.",Yes; unique metaphorical focus on the core command of love.,c. 90–100 AD,Johannine community,John,"John 13:34, 20:26-28",Combines high spirituality with physical grounding to fight gnostics.,"1-3, 6, 13, 15"
1 John,Works; Jamesian theology countering gnostic denial of flesh.,Physical Lord; fleshly manifestation of life.,Essential; love for one another is the proof of salvation.,Propitiation of love; ordering the hells.,"Yes; focus on ""that which our hands have handled.""",Yes; spiritual realness.,Fellowship; testimony of the life with the Father.,"Present; ""it is the last hour.""",Yes; focus on Jesus' core command to love.,c. 90–100 AD,Anti-Gnostic communities,John,1 John 4:2,Counters gnostic claims that Jesus did not come in the flesh.,"2, 3, 6"
2 John,Works; Jamesian theology focusing on walking in truth and love.,Son of the Father; came in flesh.,Essential; walking in truth and love.,Ordering of hells; basis for fellowship.,Yes; implied through the warning against those denying the flesh.,Yes; spiritual importance.,Consistency of truth and abiding in the Lord.,Not in source,Yes; repeats the core love commandment.,c. 90–100 AD,Elect lady and her children,John,2 John 1:7,Strong anti-gnostic stance; warns against deceivers.,"2, 6"
3 John,Works; Jamesian theology focusing on truth in action.,Truth Personified.,Essential; hospitality and doing what is good.,Not in source,No; focus on spiritual realness.,Yes; prosperity of the soul.,Spiritual realness of the life in truth.,Not in source,Yes; focus on good deeds.,c. 90–100 AD,Gaius,John,3 John 1:11,Focus on works of love and hospitality.,"2, 6"
Revelation,Works; Jamesian theology focused on cosmic war and judgment.,Lamb/King of Kings; physical and divine judge.,Essential; judgment is according to one's works.,Victory; the slain lamb obtaining order over the hells.,Yes; the first resurrection and physical descent.,Yes; the Living One who lives for ever.,Triumph; final cosmic restoration and kingdom.,Imminent; literal physical return and apocalypse.,Yes; refers to keeping his deeds/teachings.,c. 90–96 AD,Seven churches in Asia Minor,John of Patmos,Revelation 20:12,Strongly Jamesian in its emphasis on conduct and judgment.,"2, 3, 6, 10"
Jude,Orthodoxy; state-affirming correction pushing away gnostics.,Only Master and Lord; the judge.,Essential; fighting for the faith and avoiding sensuality.,Judgment on apostates; maintaining tradition.,No; focus on apocalyptic judgment.,Yes; spiritual importance and authority.,Final Judgment; mercy into eternal life.,Coming with ten thousands to judge.,No; focus on apostolic tradition over parables.,c. 50–100 AD,General Church,Jude,Jude 1:14-15,Pushes away gnostic-like intruders; reflects the end of the Apostolic Age.,"2, 3, 6"
1 Timothy,Orthodoxy; state-affirming notions written to bring Paul into order.,Mediator of order; established for church institution.,Institutionalized; good works defined as church roles and civic duty.,Ransom; a traditional statement supporting the institution.,Yes; used as a corrective to push away gnostic notions.,Yes; taken up in glory.,Dogmatic; mechanisms of state-sanctioned religion.,Delayed; focus on long-term institutional stability.,No; ignores parables in favor of church management.,c. 100–140 AD,Church leaders,Pseudo-Pauline,"1 Timothy 2:1-7, 3:1-13",Written to make Christianity acceptable as a state religion.,"1-3, 5-10"
2 Timothy,Orthodoxy; state-affirming correction of Pauline gnosticism.,Institutionalized Figure; judge of the living and dead.,Institutional adherence; enduring hardship for the institution.,Traditional; sacrifice for the institutional faith.,Yes; specifically counters those saying resurrection is past.,Yes; spiritual importance.,Social Order; personal salvation through sound teaching.,Future; the appearing of the righteous crown.,No; focused on scripture as tradition.,c. 100–140 AD,Church leaders,Pseudo-Pauline,"2 Timothy 2:17-18, 4:1-8","Specifically attacks gnostic notions that resurrection is ""spiritual only.""","2, 3, 6, 8"
Titus,Orthodoxy; state-affirming notions for social respectability.,Great God and Savior; purifier of the people.,Institutionalized; emphasis on obeying rulers and authorities.,Purification; to create a people for the institutional church.,Yes; implied through the hope of eternal life.,Yes; spiritual importance.,"Social Morality; ""sober, upright, and godly life"" in the state.",Blessed Hope; the appearing of the glory.,No; lacks the historical Jesus' parables.,c. 100–140 AD,Churches in Crete,Pseudo-Pauline,Titus 3:1-8,Focuses on submission to authorities to make Christianity state-compatible.,"1-3, 6, 8"
2 Peter,Orthodoxy; institutionalization and canonization of Paul for the state.,Master and Savior; bringer of righteousness.,Institutional duty; ethics as defense against false teachers.,Redemption from corruption within the religious order.,"Yes; specifically stated to counter ""clever myths"" and gnosticism.",Yes; spiritual importance.,Knowledge; escaping world corruption via church authority.,"Delayed; God is outside time, delay allows for repentance.",No; focus on apostolic tradition over Jesus' teachings.,c. 110–150 AD,Wider Church,Pseudo-Peter,"2 Peter 1:16, 3:15-16","First text to refer to Paul's letters as ""Scripture""; corrects gnostic Paul.","2, 3, 6"
